titre,prix,surface,pieces,adresse,type_bien,prix au m²
1 chambre appartement de 50m² à Nantes,1480,50,1,"4 Rue de Briord, 44000 Nantes, France",appartement,30
4 chambres appartement de 10m² à Nantes,450,10,4,"44300 Nantes, France",appartement,45
3 chambres appartement de 99m² à Nantes,1150,99,3,"Nantes, Loire-Atlantique, France",appartement,12
4 chambres maison de 186m² à Nantes,1635,186,4,"Nantes, Loire-Atlantique, France",maison,9
1 chambre de 76m² à Nantes,530,76,1,"3 Boulevard François Blancho, 44202 Nantes, France",chambre,7
3 chambres appartement de 68m² à Nantes,857,68,3,"Nantes, Loire-Atlantique, France",appartement,13
3 chambres appartement de 57m² à Nantes,770,57,3,"44300 Nantes, France",appartement,14
1 chambre appartement de 17m² à Nantes,540,17,1,"16 Rue de Saint-Brévin, 44100 Nantes, France",appartement,32
1 chambre appartement de 17m² à Nantes,490,17,1,"62 Rue Paul Bellamy, 44000 Nantes, France",appartement,29
1 chambre studio de 25m² à Nantes,640,25,1,"Nantes, Loire-Atlantique, France",studio,26
3 chambres appartement de 80m² à Nantes,910,80,3,"14 Avenue de la Cressonnière, 44300 Nantes, France",appartement,11
1 chambre studio de 29m² à Nantes,600,29,1,"Quai de Versailles, 44000 Nantes, France",studio,21
1 chambre studio de 39m² à Nantes,545,39,1,"Nantes, Loire-Atlantique, France",studio,14
2 chambres appartement de 56m² à Nantes,590,56,2,"2 Rue du Douet Garnier, 44000 Nantes, France",appartement,11
3 chambres appartement de 100m² à Nantes,2150,100,3,"2 Rue Évariste Luminais, 44100 Nantes, France",appartement,22
5 chambres maison de 146m² à Nantes,2990,146,5,"Nantes, Loire-Atlantique, France",maison,20
1 chambre appartement de 12m² à Nantes,485,12,1,"15 Boulevard Gabriel Guist'Hau, 44000 Nantes, France",appartement,40
4 chambres appartement de 105m² à Nantes,1280,105,4,"10 Avenue Mich, 44000 Nantes, France",appartement,12
1 chambre de 36m² à Nantes,475,36,1,"22 Rue Georges Bizot, 44300 Nantes, France",chambre,13
4 chambres appartement de 30m² à Nantes,1300,30,4,"14 Allée Villanova, 44300 Nantes, France",appartement,43
4 chambres appartement de 80m² à Nantes,1140,80,4,"Nantes, Loire-Atlantique, France",appartement,14
1 chambre appartement de 27m² à Rennes,338,27,1,"1 Rue de Bourgogne, 35000 Rennes, France",appartement,13
1 chambre appartement de 27m² à Rennes,322,27,1,"Rennes, Ille-et-Vilaine, France",appartement,12
2 chambres appartement de 39m² à Rennes,637,39,2,"Rennes, Ille-et-Vilaine, France",appartement,16
1 chambre appartement de 29m² à Rennes,450,29,1,"Rennes, Ille-et-Vilaine, France",appartement,16
1 chambre appartement de 27m² à Rennes,375,27,1,"1 Rue de Bourgogne, 35000 Rennes, France",appartement,14
1 chambre appartement de 81m² à Rennes,320,81,1,"1 Rue de Bourgogne, 35000 Rennes, France",appartement,4
4 chambres appartement de 73m² à Rennes,465,73,4,"Rennes, Ille-et-Vilaine, France",appartement,6
1 chambre studio de 27m² à Rennes,323,27,1,"Rennes, Ille-et-Vilaine, France",studio,12
1 chambre appartement de 9m² à Rennes,290,9,1,"Rennes, Ille-et-Vilaine, France",appartement,32
4 chambres appartement de 75m² à Rennes,807,75,4,"Rennes, Ille-et-Vilaine, France",appartement,11
1 chambre appartement de 29m² à Rennes,400,29,1,"1 Rue de Bourgogne, 35000 Rennes, France",appartement,14
1 chambre studio de 34m² à Rennes,406,34,1,"Rennes, Ille-et-Vilaine, France",studio,12
2 chambres appartement de 32m² à Rennes,474,32,2,"Agence France-Presse, 24 Avenue des Français Libres, 35000 Rennes, France",appartement,15
2 chambres appartement de 41m² à Rennes,630,41,2,"Rennes, Ille-et-Vilaine, France",appartement,15
3 chambres appartement de 64m² à Rennes,720,64,3,"Rennes, Ille-et-Vilaine, France",appartement,11
2 chambres appartement de 46m² à Rennes,685,46,2,"29 Rue de Penhoët, 35706 Rennes, France",appartement,15
1 chambre appartement de 37m² à Rennes,435,37,1,"Rennes, Ille-et-Vilaine, France",appartement,12
1 chambre appartement de 25m² à Rennes,520,25,1,"Rennes, Ille-et-Vilaine, France",appartement,21
1 chambre appartement de 31m² à Rennes,424,31,1,"1 Rue de Bourgogne, 35000 Rennes, France",appartement,14
3 chambres appartement de 62m² à Rennes,870,62,3,"Rennes, Ille-et-Vilaine, France",appartement,14
1 chambre appartement de 16m² à Rennes,373,16,1,"Rennes, Ille-et-Vilaine, France",appartement,23
1 chambre appartement de 38m² à Rennes,458,38,1,"Rennes, Ille-et-Vilaine, France",appartement,12
1 chambre appartement de 36m² à Rennes,500,36,1,"1 Rue de Bourgogne, 35000 Rennes, France",appartement,14
3 chambres appartement de 64m² à Rennes,850,64,3,"229 Rue de Fougères, 35700 Rennes, France",appartement,13
1 chambre appartement de 77m² à Rennes,400,77,1,"1 Rue de Bourgogne, 35000 Rennes, France",appartement,5
2 chambres appartement de 50m² à Rennes,720,50,2,"Rennes, Ille-et-Vilaine, France",appartement,14
4 chambres appartement de 81m² à Rennes,1140,81,4,"Rennes, Ille-et-Vilaine, France",appartement,14
1 chambre studio de 32m² à Rennes,383,32,1,"Rennes, Ille-et-Vilaine, France",studio,12
3 chambres appartement de 64m² à Rennes,785,64,3,"Rennes, Ille-et-Vilaine, France",appartement,12
1 chambre maison de 30m² à Rennes,350,30,1,"1 Rue de Bourgogne, 35000 Rennes, France",maison,12
1 chambre appartement de 22m² à Rennes,535,22,1,"24 Rue Brizeux, 35064 Rennes, France",appartement,24
1 chambre maison de 73m² à Rennes,444,73,1,"1 Rue de Bourgogne, 35000 Rennes, France",maison,6
1 chambre appartement de 17m² à Rennes,480,17,1,"Rennes, Place de la Gare, 35000 Rennes, France",appartement,28
1 chambre maison de 92m² à Rennes,330,92,1,"1 Rue de Bourgogne, 35000 Rennes, France",maison,4
3 chambres appartement de 68m² à Rennes,800,68,3,"Rennes, Ille-et-Vilaine, France",appartement,12
1 chambre appartement de 85m² à Rennes,600,85,1,"1 Rue de Bourgogne, 35000 Rennes, France",appartement,7
1 chambre maison de 66m² à Rennes,315,66,1,"1 Rue de Bourgogne, 35000 Rennes, France",maison,5
3 chambres appartement de 55m² à Rennes,765,55,3,"Rennes, Ille-et-Vilaine, France",appartement,14
1 chambre appartement de 16m² à Rennes,380,16,1,"Rennes, Ille-et-Vilaine, France",appartement,24
1 chambre appartement de 89m² à Rennes,575,89,1,"29 Rue de Penhoët, 35706 Rennes, France",appartement,6
1 chambre appartement de 31m² à Rennes,432,31,1,"1 Rue de Bourgogne, 35000 Rennes, France",appartement,14
1 chambre appartement de 14m² à Rennes,455,14,1,"Rennes, Ille-et-Vilaine, France",appartement,32
1 chambre studio de 25m² à Rennes,638,25,1,"Rennes, Place de la Gare, 35000 Rennes, France",studio,26
2 chambres appartement de 44m² à Rennes,645,44,2,"Rennes, Ille-et-Vilaine, France",appartement,15
1 chambre studio de 33m² à Rennes,392,33,1,"Rennes, Ille-et-Vilaine, France",studio,12
1 chambre appartement de 27m² à Rennes,375,27,1,"1 Rue de Bourgogne, 35000 Rennes, France",appartement,14
1 chambre studio de 38m² à Rennes,463,38,1,"Rennes, Ille-et-Vilaine, France",studio,12
1 chambre appartement de 27m² à Rennes,701,27,1,"47 Rue Antoine Joly, 35043 Rennes, France",appartement,26
1 chambre appartement de 29m² à Rennes,650,29,1,"Rennes, Place de la Gare, 35000 Rennes, France",appartement,22
1 chambre studio de 37m² à Rennes,441,37,1,"Rennes, Ille-et-Vilaine, France",studio,12
1 chambre studio de 30m² à Rennes,635,30,1,"Rennes, Place de la Gare, 35000 Rennes, France",studio,21
3 chambres appartement de 63m² à Rennes,780,63,3,"29 Rue de Penhoët, 35706 Rennes, France",appartement,12
5 chambres appartement de 91m² à Rennes,1177,91,5,"Rennes, Ille-et-Vilaine, France",appartement,13
2 chambres appartement de 43m² à Rennes,744,43,2,"5 Rue de l'Horloge, 35000 Rennes, France",appartement,17
2 chambres appartement de 36m² à Rennes,750,36,2,"Rennes, Place de la Gare, 35000 Rennes, France",appartement,21
1 chambre studio de 36m² à Rennes,421,36,1,"Rennes, Ille-et-Vilaine, France",studio,12
5 chambres appartement de 81m² à Rennes,1340,81,5,"Rennes, Ille-et-Vilaine, France",appartement,17
4 chambres maison de 79m² à Rennes,1208,79,4,"29 Rue de Penhoët, 35706 Rennes, France",maison,15
2 chambres appartement de 41m² à Rennes,680,41,2,"Rennes, Place de la Gare, 35000 Rennes, France",appartement,17
1 chambre appartement de 14m² à Rennes,400,14,1,"Rennes, Ille-et-Vilaine, France",appartement,29
1 chambre appartement de 16m² à Rennes,424,16,1,"Rennes, Ille-et-Vilaine, France",appartement,26
1 chambre appartement de 29m² à Rennes,400,29,1,"1 Rue de Bourgogne, 35000 Rennes, France",appartement,14
4 chambres appartement de 60m² à Rennes,390,60,4,"Rennes, Place de la Gare, 35000 Rennes, France",appartement,6
1 chambre maison de 77m² à Rennes,454,77,1,"1 Rue de Bourgogne, 35000 Rennes, France",maison,6
1 chambre maison de 69m² à Rennes,400,69,1,"1 Rue de Bourgogne, 35000 Rennes, France",maison,6
4 chambres appartement de 78m² à Rennes,1400,78,4,"Rennes, Ille-et-Vilaine, France",appartement,18
4 chambres appartement de 64m² à Rennes,950,64,4,"Rennes, Ille-et-Vilaine, France",appartement,15
3 chambres appartement de 79m² à Rennes,900,79,3,"29 Rue de Penhoët, 35706 Rennes, France",appartement,11
1 chambre maison de 88m² à Rennes,435,88,1,"1 Rue de Bourgogne, 35000 Rennes, France",maison,5
4 chambres appartement de 83m² à Rennes,872,83,4,"Agence France-Presse, 24 Avenue des Français Libres, 35000 Rennes, France",appartement,11
1 chambre appartement de 29m² à Rennes,440,29,1,"Agence France-Presse, 24 Avenue des Français Libres, 35000 Rennes, France",appartement,15
1 chambre studio de 41m² à Rennes,489,41,1,"Rennes, Ille-et-Vilaine, France",studio,12
1 chambre appartement de 15m² à Rennes,448,15,1,"1 Rue de Bourgogne, 35000 Rennes, France",appartement,30
1 chambre appartement de 22m² à Rennes,404,22,1,"Rennes, Ille-et-Vilaine, France",appartement,18
1 chambre appartement de 23m² à Rennes,460,23,1,"Agence France-Presse, 24 Avenue des Français Libres, 35000 Rennes, France",appartement,20
1 chambre maison de 36m² à Rennes,425,36,1,"1 Rue de Bourgogne, 35000 Rennes, France",maison,12
5 chambres maison de 114m² à Rennes,2100,114,5,"29 Rue de Penhoët, 35706 Rennes, France",maison,18
3 chambres appartement de 65m² à Rennes,903,65,3,"Rennes, Ille-et-Vilaine, France",appartement,14
