titre,prix,surface,pieces,adresse,type_bien,prix au m²
1 chambre appartement de 22m² à Brest,400,22,1,"Rue de la France Combattante, 29200 Brest, France",appartement,18
1 chambre appartement de 20m² à Brest,470,20,1,"Brest, Finistère, France",appartement,24
1 chambre appartement de 9m² à Brest,380,9,1,"29200 Brest, France",appartement,42
1 chambre appartement de 60m² à Brest,740,60,1,"Brest, Finistère, France",appartement,12
1 chambre de 33m² à Brest,400,33,1,"Rue Amiral Courbet, 29200 Brest, France",chambre,12
4 chambres de 96m² à Brest,480,96,4,"Brest, Finistère, France",chambre,5
2 chambres appartement de 55m² à Brest,790,55,2,"1 rue du Duc d'Aumale, 29200 Brest, France",appartement,14
5 chambres appartement de 123m² à Brest,1100,123,5,"Brest, Finistère, France",appartement,9
3 chambres appartement de 66m² à Brest,780,66,3,"29200 Brest, France",appartement,12
5 chambres appartement de 11m² à Brest,304,11,5,"16 place de la Liberté, 29200 Brest, France",appartement,28
3 chambres appartement de 63m² à Brest,800,63,3,"20 avenue Victor Le Gorgeu, 29200 Brest, France",appartement,13
5 chambres appartement de 79m² à Brest,450,79,5,"29200 Brest, France",appartement,6
2 chambres appartement de 29m² à Brest,530,29,2,"29200 Brest, France",appartement,18
1 chambre de 29m² à Brest,350,29,1,"3 Rue Anatole France, 29200 Kérargaouyat, France",chambre,12
2 chambres appartement de 46m² à Brest,700,46,2,"Brest, Finistère, France",appartement,15
1 chambre appartement de 27m² à Brest,500,27,1,"29200 Brest, France",appartement,19
1 chambre studio de 18m² à Brest,450,18,1,"29480 Le Relecq-Kerhuon, France",studio,25
6 chambres appartement de 9m² à Brest,367,9,6,"29200 Brest, France",appartement,41
2 chambres appartement de 45m² à Brest,1250,45,2,"1 rue du Duc d'Aumale, 29200 Brest, France",appartement,28
2 chambres appartement de 58m² à Brest,850,58,2,"Brest, Finistère, France",appartement,15
1 chambre appartement de 19m² à Brest,528,19,1,"29200 Brest, France",appartement,28
5 chambres maison de 86m² à Brest,1000,86,5,"29200 Brest, France",maison,12
4 chambres appartement de 95m² à Brest,1150,95,4,"Brest, Finistère, France",appartement,12
3 chambres appartement de 76m² à Brest,905,76,3,"1 rue du Duc d'Aumale, 29200 Brest, France",appartement,12
4 chambres de 96m² à Brest,480,96,4,"2 Rue Louis Vierne, 29200 Le Petit Spernot, France",chambre,5
1 chambre de 30m² à Brest,370,30,1,"Rue du Languedoc, 29200 Brest, France",chambre,12
1 chambre de 29m² à Brest,360,29,1,"Rue Pierre Sèvre, 29200 Brest, France",chambre,12
3 chambres appartement de 69m² à Brest,880,69,3,"29200 Brest, France",appartement,13
2 chambres appartement de 56m² à Brest,680,56,2,"1 rue du Duc d'Aumale, 29200 Brest, France",appartement,12
3 chambres de 91m² à Brest,390,91,3,"1 rue du Duc d'Aumale, 29200 Brest, France",chambre,4
4 chambres de 96m² à Brest,480,96,4,"Brest, Finistère, France",chambre,5
4 chambres appartement de 88m² à Brest,1120,88,4,"Brest, Finistère, France",appartement,13
4 chambres appartement de 80m² à Brest,915,80,4,"29200 Brest, France",appartement,11
5 chambres appartement de 100m² à Brest,1120,100,5,"29200 Brest, France",appartement,11
1 chambre de 32m² à Brest,390,32,1,"Rue Jean Jaurès, 29200 Brest, France",chambre,12
3 chambres appartement de 70m² à Brest,775,70,3,"29200 Brest, France",appartement,11
1 chambre appartement de 76m² à Brest,915,76,1,"18 Rue Marcel Sembat, 29200 Brest, France",appartement,12
1 chambre de 29m² à Brest,360,29,1,"1 Rue de Dinan, 29200 Raozoc, France",chambre,12
6 chambres appartement de 11m² à Brest,370,11,6,"29200 Brest, France",appartement,34
1 chambre de 33m² à Brest,400,33,1,"22 Rue Amiral Courbet, 29200 Brest, France",chambre,12
3 chambres appartement de 87m² à Brest,800,87,3,"29200 Brest, France",appartement,9
2 chambres appartement de 34m² à Brest,550,34,2,"29200 Brest, France",appartement,16
1 chambre de 32m² à Brest,390,32,1,"Rue Jean Jaurès, 29200 Brest, France",chambre,12
3 chambres appartement de 63m² à Brest,740,63,3,"Brest, Finistère, France",appartement,12
4 chambres appartement de 76m² à Brest,780,76,4,"29200 Brest, France",appartement,10
3 chambres appartement de 79m² à Brest,820,79,3,"29200 Brest, France",appartement,10
1 chambre de 31m² à Brest,380,31,1,"Rue de Kerbloas, 29200 Treornou, France",chambre,12
1 chambre appartement de 25m² à Brest,530,25,1,"29200 Brest, France",appartement,21
3 chambres appartement de 65m² à Brest,780,65,3,"29200 Brest, France",appartement,12
2 chambres appartement de 40m² à Brest,715,40,2,"29200 Brest, France",appartement,18
3 chambres appartement de 81m² à Reims,689,81,3,"Reims, Marne, France",appartement,9
1 chambre appartement de 19m² à Reims,310,19,1,"1 Rue des Tuileries, 51100 Reims, France",appartement,16
1 chambre appartement de 18m² à Reims,280,18,1,"Reims, Marne, France",appartement,16
4 chambres appartement de 61m² à Reims,620,61,4,"Reims, Marne, France",appartement,10
1 chambre appartement de 25m² à Reims,405,25,1,"1 Rue des Tuileries, 51100 Reims, France",appartement,16
1 chambre appartement de 20m² à Reims,328,20,1,"1 Rue des Tuileries, 51100 Reims, France",appartement,16
5 chambres appartement de 103m² à Reims,960,103,5,"5 Rue du Cardinal Suhard, 51100 Reims, France",appartement,9
4 chambres appartement de 72m² à Reims,728,72,4,"14 Rue Lecointre, 51100 Reims, France",appartement,10
4 chambres maison de 83m² à Reims,1050,83,4,"Reims, Marne, France",maison,13
3 chambres maison de 159m² à Reims,1140,159,3,"Reims, Marne, France",maison,7
1 chambre appartement de 44m² à Reims,332,44,1,"1 Rue Albert Camus, 51100 Reims, France",appartement,8
1 chambre appartement de 32m² à Reims,450,32,1,"Reims, Marne, France",appartement,14
4 chambres appartement de 128m² à Reims,890,128,4,"Reims, Marne, France",appartement,7
3 chambres appartement de 70m² à Reims,564,70,3,"21 Rue de Taissy, 51100 Reims, France",appartement,8
2 chambres maison de 55m² à Reims,760,55,2,"Reims, Marne, France",maison,14
1 chambre studio de 23m² à Reims,349,23,1,"Reims, Marne, France",studio,15
2 chambres appartement de 44m² à Reims,631,44,2,"1 Rue Saint-Pierre les Dames, 51100 Reims, France",appartement,14
2 chambres appartement de 55m² à Reims,694,55,2,"29 bis Rue Ponsardin, 51100 Reims, France",appartement,13
4 chambres appartement de 111m² à Reims,933,111,4,"Reims, Marne, France",appartement,8
1 chambre appartement de 34m² à Reims,500,34,1,"Reims, Marne, France",appartement,15
1 chambre appartement de 31m² à Reims,495,31,1,"Reims, Marne, France",appartement,16
2 chambres appartement de 49m² à Reims,655,49,2,"Reims, Marne, France",appartement,13
2 chambres maison de 35m² à Reims,550,35,2,"14 Place des Fleurs, 51450 Bétheny, France",maison,16
2 chambres appartement de 35m² à Reims,550,35,2,"Reims, Marne, France",appartement,16
2 chambres appartement de 28m² à Reims,544,28,2,"Reims, Marne, France",appartement,19
5 chambres appartement de 92m² à Reims,892,92,5,"7 Rue Gerbert, 51100 Reims, France",appartement,10
3 chambres appartement de 58m² à Reims,760,58,3,"Reims, Marne, France",appartement,13
2 chambres appartement de 60m² à Reims,681,60,2,"Reims, Marne, France",appartement,11
1 chambre studio de 18m² à Reims,348,18,1,"Reims, Marne, France",studio,19
4 chambres appartement de 63m² à Reims,780,63,4,"Reims, Marne, France",appartement,12
1 chambre appartement de 24m² à Reims,520,24,1,"28 rue de Berru, 51100 Reims, France",appartement,22
1 chambre appartement de 45m² à Reims,545,45,1,"Reims, Marne, France",appartement,12
3 chambres appartement de 61m² à Reims,810,61,3,"Reims, Marne, France",appartement,13
3 chambres appartement de 70m² à Reims,740,70,3,"Reims, Marne, France",appartement,11
4 chambres appartement de 113m² à Reims,837,113,4,"Esplanade Simone Veil, 51100 Reims, France",appartement,7
1 chambre appartement de 24m² à Reims,399,24,1,"1 Rue des Tuileries, 51100 Reims, France",appartement,17
3 chambres appartement de 58m² à Reims,678,58,3,"Reims, Marne, France",appartement,12
2 chambres appartement de 86m² à Reims,860,86,2,"Reims, Marne, France",appartement,10
1 chambre appartement de 132m² à Reims,600,132,1,"Reims, Marne, France",appartement,5
1 chambre studio de 17m² à Reims,395,17,1,"Reims, Marne, France",studio,23
2 chambres appartement de 42m² à Reims,650,42,2,"Reims, Marne, France",appartement,15
1 chambre appartement de 51m² à Reims,695,51,1,"Reims, Marne, France",appartement,14
2 chambres appartement de 63m² à Reims,741,63,2,"1 Rue Dallier, 51100 Reims, France",appartement,12
2 chambres appartement de 36m² à Reims,595,36,2,"23ter Rue du Temple, 51100 Reims, France",appartement,17
1 chambre appartement de 40m² à Reims,450,40,1,"Reims, Marne, France",appartement,11
1 chambre appartement de 17m² à Reims,425,17,1,"Reims, Marne, France",appartement,25
1 chambre appartement de 37m² à Reims,420,37,1,"Reims, Marne, France",appartement,11
2 chambres appartement de 49m² à Reims,640,49,2,"Reims, Marne, France",appartement,13
2 chambres appartement de 45m² à Reims,680,45,2,"7 Rue Gerbert, 51100 Reims, France",appartement,15
1 chambre studio de 23m² à Reims,460,23,1,"Reims, Marne, France",studio,20
1 chambre appartement de 29m² à Reims,595,29,1,"2 Rue du Général Sarrail, 51100 Reims, France",appartement,21
6 chambres maison de 127m² à Reims,1600,127,6,"Reims, Marne, France",maison,13
5 chambres maison de 130m² à Reims,2600,130,5,"Reims, Marne, France",maison,20
2 chambres appartement de 34m² à Reims,550,34,2,"Reims, Marne, France",appartement,16
1 chambre appartement de 25m² à Reims,482,25,1,"10 Rue Gerbert, 51100 Reims, France",appartement,19
1 chambre appartement de 18m² à Reims,500,18,1,"Reims, Marne, France",appartement,28
1 chambre appartement de 22m² à Reims,360,22,1,"1 Rue des Tuileries, 51100 Reims, France",appartement,16
1 chambre appartement de 32m² à Reims,520,32,1,"1 Rue des Tuileries, 51100 Reims, France",appartement,16
1 chambre appartement de 29m² à Reims,465,29,1,"1 Rue des Tuileries, 51100 Reims, France",appartement,16
3 chambres appartement de 63m² à Reims,770,63,3,"Reims, Marne, France",appartement,12
1 chambre maison de 51m² à Reims,760,51,1,"1 Rue des Tuileries, 51100 Reims, France",maison,15
1 chambre studio de 25m² à Reims,420,25,1,"Reims, Marne, France",studio,17
1 chambre appartement de 15m² à Reims,380,15,1,"Reims, Marne, France",appartement,25
2 chambres appartement de 39m² à Reims,580,39,2,"Reims, Marne, France",appartement,15
1 chambre appartement de 40m² à Reims,440,40,1,"Reims, Marne, France",appartement,11
2 chambres appartement de 55m² à Reims,758,55,2,"Reims, Marne, France",appartement,14
3 chambres maison de 170m² à Reims,1200,170,3,"Reims, Marne, France",maison,7
2 chambres appartement de 53m² à Reims,640,53,2,"29 Rue Landouzy, 51100 Reims, France",appartement,12
1 chambre appartement de 25m² à Reims,421,25,1,"Reims, Marne, France",appartement,17
1 chambre appartement de 27m² à Reims,450,27,1,"1 Rue des Tuileries, 51100 Reims, France",appartement,17
3 chambres appartement de 81m² à Reims,1030,81,3,"Reims, Marne, France",appartement,13
4 chambres appartement de 63m² à Reims,780,63,4,"Reims, Marne, France",appartement,12
2 chambres appartement de 45m² à Reims,680,45,2,"29 Rue Landouzy, 51100 Reims, France",appartement,15
3 chambres appartement de 70m² à Reims,740,70,3,"Reims, Marne, France",appartement,11
1 chambre appartement de 27m² à Reims,523,27,1,"Reims, Marne, France",appartement,19
1 chambre appartement de 19m² à Reims,508,19,1,"Reims, Marne, France",appartement,27
3 chambres appartement de 40m² à Reims,732,40,3,"Reims, Marne, France",appartement,18
3 chambres appartement de 77m² à Reims,920,77,3,"Reims, Marne, France",appartement,12
1 chambre appartement de 22m² à Reims,401,22,1,"Reims, Marne, France",appartement,18
3 chambres appartement de 72m² à Reims,981,72,3,"Reims, Marne, France",appartement,14
